Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,HomePlanet_NA,CryoSleep_False,CryoSleep_True,Destination_55 Cancri e,Destination_NA,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,VIP_False,VIP_True,CabinX_A,CabinX_B,CabinX_C,CabinX_D,CabinX_E,CabinX_F,CabinX_G,CabinX_NA,CabinX_T,CabinZ_P,CabinZ_S,CabinZ_None
0.7058823529411765,0.0,0.0,0.0,0.0,0.0,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.17647058823529413,1.257596536301474,0.5579137673194251,1.0391014346221656,1.5818359272861144,1.0250676225999908,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.8235294117647058,1.0124462620792734,1.982557139139442,0.0,2.2091459668251745,1.0534393665072879,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.35294117647058826,0.0,1.7343112233481837,1.8877068323722561,2.0332815294060365,1.4185420572000387,False,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.6470588235294118,1.5295701025688648,1.0328425196153972,1.6022611348870042,1.589024675007822,0.29583707248290936,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.0,1.4979121903851185,0.0,1.423107672530726,0.0,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.058823529411764705,1.0062954995527402,1.7783616937706004,0.4421294589150075,0.0,0.0,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.058823529411764705,0.0,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.47058823529411764,0.0,1.6153961006424475,0.9218233423019256,1.3486886111199625,0.0,True,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7647058823529411,0.0,0.0,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.4117647058823529,0.0,0.0,0.0,0.0,0.0,True,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
